date,O3_sc,NO2_sc,CO_sc,SO2_sc,SZA_sc,T_sc,RH_sc,WS_sc,WD_sc,HONO_sc
2016-05-18 17:00,0.306855089,0.241997706,0.044686982,0.074125661,0.52618539,0.78609736,0.188228208,0.081120295,0.643258643,NA
2016-05-18 18:00,0.230945188,0.285058909,0.083138759,0.059434088,0.627303645,0.690112761,0.2707851,0.039702779,0.86173769,NA
2016-05-18 19:00,0.175467872,0.346991972,0.130135374,0.033389937,0.722483345,0.572676018,0.294915956,0.019763454,0.533271054,NA
2016-05-18 20:00,0.088039204,0.524658534,0.180549925,0.008681384,0.808446226,0.49229923,0.294840665,0.004067007,0.99855829,NA
2016-05-18 21:00,0.014530742,0.744969242,0.276252124,0.057430692,0.88067997,0.429386689,0.378131647,0.003495427,0.024246093,NA
2016-05-18 22:00,0.001750201,0.772912105,0.445439939,0.136898743,0.933330607,0.373762376,0.517834623,0.000263806,0.028418925,NA
2016-05-18 23:00,0.001953713,0.731519133,0.547978009,0.157600504,0.960157777,0.332233223,0.55258155,0.005693809,0.921172285,NA
2016-05-19 0:00,0.002279332,0.675320613,0.542851105,0.178302265,0.957050282,0.300673817,0.628211644,0.019257826,0.514097465,NA
2016-05-19 1:00,0.001505987,0.640183505,0.51550762,0.19165824,0.924523109,0.263545104,0.69311273,0.008265916,0.245407783,NA
2016-05-19 2:00,0.000895452,0.545198624,0.439458551,0.168953082,0.867368853,0.240236524,0.758051462,0.024094267,0.230396722,NA
2016-05-19 3:00,0.000610535,0.498383902,0.453984778,0.194997233,0.791905569,0.210327283,0.794831253,0.021676046,0.049300548,NA
2016-05-19 4:00,0,0.446251694,0.402715743,0.164278491,0.703742012,0.191831683,0.837370828,0.03055751,0.027659575,NA
2016-05-19 5:00,0.000244214,0.381816286,0.298468705,0.124878365,0.607108847,0.174986249,0.864287462,0.016070172,0.995685811,NA
2016-05-19 6:00,0.004192343,0.324575123,0.313849416,0.208353208,0.505079038,0.311674917,0.699437198,0.010002638,0.144268216,NA
2016-05-19 7:00,0.028939378,0.397351684,0.316412868,0.176298869,0.400044353,0.462733774,0.499294144,0.116140521,0.521094187,NA
2016-05-19 8:00,0.065571501,0.404128871,0.286505931,0.108183397,0.294304309,0.546892189,0.415570237,0.121218783,0.691112024,NA
2016-05-19 9:00,0.123490959,0.346262121,0.254035542,0.114861384,0.191098931,0.650715071,0.317879798,0.124010728,0.36434078,NA
2016-05-19 10:00,0.170746398,0.297987697,0.21216583,0.088817233,0.097583422,0.725178768,0.277900126,0.063269434,0.025527092,NA
2016-05-19 11:00,0.202494239,0.277134814,0.177131989,0.029383145,0.034869074,0.798679868,0.216085983,0.100268203,0.408183945,0.133594112
2016-05-19 12:00,NA,NA,NA,NA,0.043103362,0.842409241,0.162647994,0.067886036,0.236834026,NA
2016-05-19 13:00,0.365324028,0.122145762,0.139961939,0.076462956,0.115028458,0.886482398,0.148154422,0.095893422,0.192262973,0.063596758
2016-05-19 14:00,0.422653302,0.104681472,0.131844342,0.060101887,0.211472522,0.908415842,0.149039095,0.10860007,0.487472291,0.150685178
2016-05-19 15:00,0.47300212,0.072776561,0.113045696,0.054759497,0.315507703,0.905184269,0.139684153,0.061884453,0.521020239,0.153123698
2016-05-19 16:00,0.459733151,0.094150766,0.142952633,0.071454466,0.4212323,0.869224422,0.188247031,0.039746746,0.371828813,0.115279079
2016-05-19 17:00,0.437306151,0.115316443,0.203620991,0.124878365,0.525728381,0.822332233,0.247953018,0.02244548,0.198445102,0.220572558
2016-05-19 18:00,0.341737011,0.211656762,0.244636219,0.084142642,0.626730892,0.763820132,0.240913283,0.07786669,0.9547702,0.242336427
2016-05-19 19:00,0.285038624,0.19226358,0.257453477,0.040067925,0.721745775,0.671685919,0.250870555,0.053376715,0.638260977,NA
2016-05-19 20:00,0.20717501,0.270253363,0.315558384,0.064108679,0.807495192,0.556655665,0.30835545,0.013586001,0.59118236,NA
2016-05-19 21:00,0.11506557,0.452716088,0.359991547,0.031386541,0.879472771,0.496562156,0.327686487,0.012376891,0.960833879,NA
2016-05-19 22:00,0.003215486,0.758523616,0.464238585,0.047413711,0.931848241,0.43860011,0.422421744,0.008309884,0.645447479,0.436446634
2016-05-19 23:00,0.003134082,0.702012303,0.479619295,0.086813837,0.958431188,0.38799505,0.469271745,0.01220102,0.55665024,NA
2016-05-20 0:00,0.003785319,0.6589511,0.508671749,0.138902139,0.955168364,0.357535754,0.551960397,0.015872318,0.205376983,0.359947877
2016-05-20 1:00,0.003256189,0.596183922,0.441167519,0.136230944,0.922597013,0.31339384,0.61416982,0.025237425,0.00020551,0.422513474
2016-05-20 2:00,0.002727058,0.544260244,0.428350261,0.152925913,0.86548323,0.278465347,0.663579724,0.016092156,0.010214464,0.523048381
2016-05-20 3:00,0.002523546,0.514753415,0.383917097,0.114193585,0.790101956,0.252131463,0.68931052,0.007474499,0.135256672,0.458151522
2016-05-20 4:00,0.00276776,0.46481076,0.362554999,0.098834214,0.70202938,0.228547855,0.722984547,0.011827295,0.629209185,0.530770768
2016-05-20 5:00,0.003663212,0.423104994,0.367681903,0.109518994,0.60547775,0.207783278,0.764055941,0.011651425,0.244898361,0.510551832
2016-05-20 6:00,0.007855555,0.366072359,0.419805421,0.181641258,0.503509655,0.324669967,0.670054774,0.011343651,0.479809236,0.585265664
2016-05-20 7:00,0.01603673,0.451777708,0.488164135,0.201675221,0.398508143,0.481160616,0.525533156,0.043418044,0.858106463,0.405427424
2016-05-20 8:00,0.031178007,0.515691794,0.49158207,0.176966667,0.292760049,0.574738724,0.406817626,0.034448646,0.774765346,0.30359583
2016-05-20 9:00,0.121740757,0.508706079,0.512089684,0.168285284,0.189482632,0.669210671,0.315395185,0.075294583,0.985002453,0.195721462
2016-05-20 10:00,0.143679329,0.490147013,0.374517774,0.14891912,0.09580389,0.725866337,0.283170516,0.080636651,0.980349448,0.152273064
2016-05-20 11:00,0.230090439,0.325304973,0.282233511,0.098166415,0.032975043,0.789878988,0.208933311,0.079845234,0.190444948,0.201689113
2016-05-20 12:00,0.252598843,0.357522678,0.299323189,0.116196982,0.041727593,0.822744774,0.21840119,0.089232325,0.037428059,0.255077143
2016-05-20 13:00,0.347191127,0.196851215,0.197639603,0.088149434,0.114264898,0.857123212,0.148154422,0.109589342,0.765917577,0.328342612
2016-05-20 14:00,0.360419394,0.095923261,0.147225052,0.031386541,0.210994724,0.852654015,0.139477102,0.067226521,0.465576583,0.155677057
2016-05-20 15:00,0.361843976,0.035032843,0.131844342,0.033389937,0.315128428,0.867092959,0.078754682,0.097784031,0.993982057,0.203899
2016-05-20 16:00,0.367013176,0.029715358,0.123299503,0.044742516,0.420852919,0.870118262,0.119468444,0.074744988,0.49031699,0.18050875
2016-05-20 17:00,0.429816917,0.165363362,0.269416252,0.203010818,0.525285664,0.799779978,0.241854424,0.06986458,0.413956614,0.271327884
2016-05-20 18:00,0.552493828,0.320300282,0.483037231,0.504188052,0.626174353,0.742643014,0.366480321,0.082637179,0.12709645,0.11541151
